	Values	Real values	Min	Max	Mean
Inconsistent assignment over weeks	14112	460	16	41	29
Daily workload over recomendation	1728	156	6	18	10
Monthly workload deviation	11357	423	20	32	26
Weekly workload deviation	79160	1104	40	90	69


	Morning				After				Night				
	Area1		Area2		Area1		Area2		Area1		Area2		
	1	2	1	2	1	2	1	2	1	2	1	2	
30/03 (Qua)	Clive	Mario	George	Halle	Hugh	Angel	Will	Otavio	Keira	Vitor	Clive	Gustavo	
31/03 (Qui)	Will	Halle	Julia	Alex	George	Hugh	Will	Pedro	Julia	Pedro	Gustavo	Otavio	
01/04 (Sex)	Halle	Gabriel	Alex	Mario	Alex	Mario	Angel	Vitor	Julia	Otavio	Gustavo	Pedro	
02/04 (Sab)	George	Mario	Halle	Lucas	Hugh	Clive	Angel	Mario	Will	Halle	Vitor	Alex	
03/04 (Dom)	Hugh	Clive	George	Angel	Clive	Keira	Julia	Otavio	George	Keira	Lucas	Vitor	
04/04 (Seg)	Clive	Pedro	Hugh	Gustavo	Julia	Pedro	Angel	Otavio	Lucas	Gabriel	Halle	Otavio	
05/04 (Ter)	Clive	Julia	George	Pedro	Will	Gustavo	George	Mario	Alex	Gabriel	Hugh	Mario	


	Morning				After				Night				
	Area1		Area2		Area1		Area2		Area1		Area2		
	1	2	1	2	1	2	1	2	1	2	1	2	
06/04 (Qua)	Will	Keira	Julia	Vitor	Angel	Gustavo	George	Otavio	Angel	Keira	Clive	Lucas	
07/04 (Qui)	Gustavo	Otavio	Alex	Mario	George	Will	Halle	Vitor	Julia	Pedro	Hugh	Gustavo	
08/04 (Sex)	Halle	Vitor	Clive	Gabriel	Angel	Mario	Keira	Gabriel	Alex	Pedro	Will	Gustavo	
09/04 (Sab)	Hugh	Halle	George	Vitor	Clive	Gabriel	Julia	Lucas	Halle	Otavio	Alex	Mario	
10/04 (Dom)	Hugh	Pedro	Clive	Gustavo	George	Julia	Hugh	Lucas	Keira	Lucas	Will	Otavio	
11/04 (Seg)	Hugh	Gabriel	George	Clive	Angel	Gustavo	George	Halle	Vitor	Pedro	Julia	Otavio	
12/04 (Ter)	George	Alex	Angel	Lucas	Hugh	Clive	Angel	Gabriel	Alex	Mario	Julia	Halle	


	Morning				After				Night				
	Area1		Area2		Area1		Area2		Area1		Area2		
	1	2	1	2	1	2	1	2	1	2	1	2	
13/04 (Qua)	Clive	Gustavo	George	Angel	Clive	Pedro	Vitor	Gabriel	Lucas	Otavio	Angel	Keira	
14/04 (Qui)	Hugh	Gustavo	Halle	Pedro	Julia	Mario	Will	Gustavo	Will	Pedro	Hugh	Mario	
15/04 (Sex)	Clive	Vitor	George	Alex	Clive	Gustavo	Otavio	Alex	Gabriel	Pedro	Keira	Vitor	
16/04 (Sab)	Julia	Halle	Hugh	Lucas	Angel	Lucas	Julia	Otavio	George	Mario	Will	Gustavo	
17/04 (Dom)	Clive	Julia	Hugh	Halle	Clive	Vitor	Otavio	Pedro	Halle	Alex	Keira	Lucas	
18/04 (Seg)	Otavio	Gabriel	Vitor	Gustavo	Hugh	Otavio	George	Angel	Julia	Gabriel	Gustavo	Pedro	
19/04 (Ter)	George	Hugh	Halle	Mario	George	Alex	Halle	Vitor	Julia	Angel	Otavio	Alex	


	Morning				After				Night				
	Area1		Area2		Area1		Area2		Area1		Area2		
	1	2	1	2	1	2	1	2	1	2	1	2	
20/04 (Qua)	Gustavo	Mario	Clive	Keira	Hugh	Lucas	Will	Keira	Clive	Lucas	George	Angel	
